"Badlands","恶地"
"Brewer Pottery Sherd","佳酿纹样陶片"
"Brewing Stand","酿造台"
"Brick","红砖"
"Brown Bundle","棕色收纳袋"
"Brown Dye","棕色染料"
"Brown Egg","棕色鸡蛋"
"Brush","刷子"
"Bucket","铁桶"
"Bundle","收纳袋"
"Empty","空"
"Can hold a mixed stack of items","可容纳一组混合的物品"
"Burn Pottery Shard","烈焰纹样陶片"
"Burn Pottery Sherd","烈焰纹样陶片"
"Camel Spawn Egg","骆驼刷怪蛋"
"Carrot","胡萝卜"
"Carrot on a Stick","胡萝卜钓竿"
"Cat Spawn Egg","猫刷怪蛋"
"Cauldron","炼药锅"
"Cave Spider Spawn Egg","洞穴蜘蛛刷怪蛋"
"Chainmail Boots","锁链靴子"
"Chainmail Chestplate","锁链胸甲"
"Chainmail Helmet","锁链头盔"
"Chainmail Leggings","锁链护腿"
"Charcoal","木炭"
"Cherry Boat","樱花木船"
"Cherry Boat with Chest","樱花木运输船"
"Minecart with Chest","运输矿车"
"Raw Chicken","生鸡肉"
"Chicken Spawn Egg","鸡刷怪蛋"
"Chorus Fruit","紫颂果"
"Clay Ball","黏土球"
"Clock","时钟"
"Coal","煤炭"
"Smithing Template","锻造模板"
"Coast Armor Trim","海岸盔甲纹饰"
"Cocoa Beans","可可豆"
"Raw Cod","生鳕鱼"
"Bucket of Cod","鳕鱼桶"
"Cod Spawn Egg","鳕鱼刷怪蛋"
"Minecart with Command Block","命令方块矿车"
"Compass","指南针"
"Steak","牛排"
"Cooked Chicken","熟鸡肉"
"Cooked Cod","熟鳕鱼"
"Cooked Mutton","熟羊肉"
"Cooked Porkchop","熟猪排"
"Cooked Rabbit","熟兔肉"
"Cooked Salmon","熟鲑鱼"
"Cookie","曲奇"
"Copper Ingot","铜锭"
"Cow Spawn Egg","牛刷怪蛋"
"Creaking Spawn Egg","嘎枝刷怪蛋"
"Banner Pattern","旗帜图案"
"Creeper Charge","苦力怕盾徽"
"Creeper Charge Banner Pattern","苦力怕盾徽旗帜图案"
"Creeper Spawn Egg","苦力怕刷怪蛋"
"Crossbow","弩"
"Cyan Bundle","青色收纳袋"
"Cyan Dye","青色染料"
"Danger Pottery Shard","危机纹样陶片"
"Danger Pottery Sherd","危机纹样陶片"
"Dark Oak Boat","深色橡木船"
"Dark Oak Boat with Chest","深色橡木运输船"
"Debug Stick","调试棒"
"Diamond","钻石"
"Diamond Axe","钻石斧"
"Diamond Boots","钻石靴子"
"Diamond Chestplate","钻石胸甲"
"Diamond Helmet","钻石头盔"
"Diamond Hoe","钻石锄"
"Diamond Horse Armor","钻石马铠"
"Diamond Leggings","钻石护腿"
"Diamond Pickaxe","钻石镐"
"Diamond Shovel","钻石锹"
"Diamond Sword","钻石剑"
"Disc Fragment","唱片残片"
"Dolphin Spawn Egg","海豚刷怪蛋"
"Donkey Spawn Egg","驴刷怪蛋"
"Dragon's Breath","龙息"
"Dried Kelp","干海带"
"Drowned Spawn Egg","溺尸刷怪蛋"
"Smithing Template","锻造模板"
"Dune Armor Trim","沙丘盔甲纹饰"
"Echo Shard","回响碎片"
"Egg","鸡蛋"
"Elder Guardian Spawn Egg","远古守卫者刷怪蛋"
"Elytra","鞘翅"
"Emerald","绿宝石"
"Enchanted Book","附魔书"
"Enchanted Golden Apple","附魔金苹果"
"End Crystal","末地水晶"
"Ender Dragon Spawn Egg","末影龙刷怪蛋"
"Eye of Ender","末影之眼"
"Ender Pearl","末影珍珠"
"Enderman Spawn Egg","末影人刷怪蛋"
"Endermite Spawn Egg","末影螨刷怪蛋"
"Evoker Spawn Egg","唤魔者刷怪蛋"
"Bottle o' Enchanting","附魔之瓶"
"Explorer Pottery Shard","探险纹样陶片"
"Explorer Pottery Sherd","探险纹样陶片"
"Smithing Template","锻造模板"
"Eye Armor Trim","眼眸盔甲纹饰"
"Feather","羽毛"
"Fermented Spider Eye","发酵蛛眼"
"Field Masoned Banner Pattern","砖纹旗帜图案"
"Map","地图"
"Fire Charge","火焰弹"
"Firework Rocket","烟花火箭"
"Fishing Rod","钓鱼竿"
"Flint","燧石"
"Flint and Steel","打火石"
"Smithing Template","锻造模板"
"Flow Armor Trim","涡流盔甲纹饰"
"Banner Pattern","旗帜图案"
"Flow","涡流"
"Flow Banner Pattern","涡流旗帜图案"
"Flow Pottery Sherd","涡流纹样陶片"
"Banner Pattern","旗帜图案"
"Flower Charge","花朵盾徽"
"Flower Charge Banner Pattern","花朵盾徽旗帜图案"
"Flower Pot","花盆"
"Fox Spawn Egg","狐狸刷怪蛋"
"Friend Pottery Shard","挚友纹样陶片"
"Friend Pottery Sherd","挚友纹样陶片"
"Frog Spawn Egg","青蛙刷怪蛋"
"Minecart with Furnace","动力矿车"
"Ghast Spawn Egg","恶魂刷怪蛋"
"Ghast Tear","恶魂之泪"
"Glass Bottle","玻璃瓶"
"Glistering Melon Slice","闪烁的西瓜片"
"Banner Pattern","旗帜图案"
"Globe","地球"
"Globe Banner Pattern","地球旗帜图案"
"Glow Berries","发光浆果"
"Glow Ink Sac","荧光墨囊"
"Glow Item Frame","荧光物品展示框"
"Glow Squid Spawn Egg","发光鱿鱼刷怪蛋"
"Glowstone Dust","荧石粉"
"Goat Horn","山羊角"
"Goat Spawn Egg","山羊刷怪蛋"
"Gold Ingot","金锭"
"Gold Nugget","金粒"
"Golden Apple","金苹果"
"Golden Axe","金斧"
"Golden Boots","金靴子"
"Golden Carrot","金胡萝卜"
"Golden Chestplate","金胸甲"
"Golden Helmet","金头盔"
"Golden Hoe","金锄"
"Golden Horse Armor","金马铠"
"Golden Leggings","金护腿"
"Golden Pickaxe","金镐"
"Golden Shovel","金锹"
"Golden Sword","金剑"
"Gray Bundle","灰色收纳袋"
"Gray Dye","灰色染料"
"Green Bundle","绿色收纳袋"
"Green Dye","绿色染料"
"Guardian Spawn Egg","守卫者刷怪蛋"
"Gunpowder","火药"
"Banner Pattern","旗帜图案"
"Guster","旋风"
"Guster Banner Pattern","旋风旗帜图案"
"Guster Pottery Sherd","旋风纹样陶片"
"Heart of the Sea","海洋之心"
"Heart Pottery Shard","爱心纹样陶片"
"Heart Pottery Sherd","爱心纹样陶片"
"Heartbreak Pottery Shard","心碎纹样陶片"
"Heartbreak Pottery Sherd","心碎纹样陶片"
"Hoglin Spawn Egg","疣猪兽刷怪蛋"
"Honey Bottle","蜂蜜瓶"
"Honeycomb","蜜脾"
"Minecart with Hopper","漏斗矿车"
"Horse Spawn Egg","马刷怪蛋"
"Smithing Template","锻造模板"
"Host Armor Trim","雇主盔甲纹饰"
"Howl Pottery Shard","狼嚎纹样陶片"
"Howl Pottery Sherd","狼嚎纹样陶片"
"Husk Spawn Egg","尸壳刷怪蛋"
"Ink Sac","墨囊"
"Iron Axe","铁斧"
"Iron Boots","铁靴子"
"Iron Chestplate","铁胸甲"
"Iron Golem Spawn Egg","铁傀儡刷怪蛋"
"Iron Helmet","铁头盔"
"Iron Hoe","铁锄"
"Iron Horse Armor","铁马铠"
"Iron Ingot","铁锭"
"Iron Leggings","铁护腿"
"Iron Nugget","铁粒"
"Iron Pickaxe","铁镐"
"Iron Shovel","铁锹"
"Iron Sword","铁剑"
"Item Frame","物品展示框"
"Jungle Boat","丛林木船"
"Jungle Boat with Chest","丛林木运输船"
"Knowledge Book","知识之书"
"Lapis Lazuli","青金石"
"Lava Bucket","熔岩桶"
"Lead","拴绳"
"Leather","皮革"
"Leather Boots","皮革靴子"
"Leather Tunic","皮革外套"
"Leather Cap","皮革帽子"
"Leather Horse Armor","皮革马铠"
"Leather Pants","皮革裤子"
"Light Blue Bundle","淡蓝色收纳袋"
"Light Blue Dye","淡蓝色染料"
"Light Gray Bundle","淡灰色收纳袋"
"Light Gray Dye","淡灰色染料"
"Lime Bundle","黄绿色收纳袋"
"Lime Dye","黄绿色染料"
"Lingering Potion","滞留药水"
"Awkward Lingering Potion","滞留型粗制的药水"
"Lingering Uncraftable Potion","不可合成的滞留型药水"
"Lingering Potion of Fire Resistance","滞留型抗火药水"
"Lingering Potion of Harming","滞留型伤害药水"
"Lingering Potion of Healing","滞留型治疗药水"
"Lingering Potion of Infestation","滞留型虫蚀药水"
"Lingering Potion of Invisibility","滞留型隐身药水"
"Lingering Potion of Leaping","滞留型跳跃药水"
"Lingering Potion of Levitation","滞留型飘浮药水"
"Lingering Potion of Luck","滞留型幸运药水"
"Mundane Lingering Potion","滞留型平凡的药水"
"Lingering Potion of Night Vision","滞留型夜视药水"
"Lingering Potion of Oozing","滞留型渗浆药水"
"Lingering Potion of Poison","滞留型剧毒药水"
"Lingering Potion of Regeneration","滞留型再生药水"
"Lingering Potion of Slow Falling","滞留型缓降药水"
"Lingering Potion of Slowness","滞留型迟缓药水"
"Lingering Potion of Strength","滞留型力量药水"
"Lingering Potion of Swiftness","滞留型迅捷药水"
"Thick Lingering Potion","滞留型浓稠的药水"
"Lingering Potion of the Turtle Master","滞留型神龟药水"
"Lingering Water Bottle","滞留型水瓶"
"Lingering Potion of Water Breathing","滞留型水肺药水"
"Lingering Potion of Weakness","滞留型虚弱药水"
"Lingering Potion of Weaving","滞留型盘丝药水"
"Lingering Potion of Wind Charging","滞留型蓄风药水"
"Llama Spawn Egg","羊驼刷怪蛋"
"Lodestone Compass","磁石指针"
"Mace","重锤"
"Magenta Bundle","品红色收纳袋"
"Magenta Dye","品红色染料"
"Magma Cream","岩浆膏"
"Magma Cube Spawn Egg","岩浆怪刷怪蛋"
"Mangrove Boat","红树木船"
"Mangrove Boat with Chest","红树木运输船"
"Empty Map","空地图"
"Melon Seeds","西瓜种子"
"Melon Slice","西瓜片"
"Milk Bucket","奶桶"
"Minecart","矿车"
"Miner Pottery Shard","采矿纹样陶片"
"Miner Pottery Sherd","采矿纹样陶片"
"Banner Pattern","旗帜图案"
"Thing","Mojang徽标"
"Thing Banner Pattern","Mojang徽标旗帜图案"
"Mooshroom Spawn Egg","哞菇刷怪蛋"
"Mourner Pottery Shard","悲恸纹样陶片"
"Mourner Pottery Sherd","悲恸纹样陶片"
"Mule Spawn Egg","骡刷怪蛋"
"Mushroom Stew","蘑菇煲"
"Raw Mutton","生羊肉"
"Name Tag","命名牌"
"Nautilus Shell","鹦鹉螺壳"
"Nether Brick","下界砖"
"Nether Star","下界之星"
"Nether Wart","下界疣"
"Netherite Axe","下界合金斧"
"Netherite Boots","下界合金靴子"
"Netherite Chestplate","下界合金胸甲"
"Netherite Helmet","下界合金头盔"
"Netherite Hoe","下界合金锄"
"Netherite Ingot","下界合金锭"
"Netherite Leggings","下界合金护腿"
"Netherite Pickaxe","下界合金镐"
"Netherite Scrap","下界合金碎片"
"Netherite Shovel","下界合金锹"
"Netherite Sword","下界合金剑"
"Smithing Template","锻造模板"
"Netherite Upgrade","下界合金升级"
"Oak Boat","橡木船"
"Oak Boat with Chest","橡木运输船"
"Ocelot Spawn Egg","豹猫刷怪蛋"
"Ominous Bottle","不祥之瓶"
"Ominous Trial Key","不祥试炼钥匙"
"Orange Bundle","橙色收纳袋"
"Orange Dye","橙色染料"
"Painting","画"
"Pale Oak Boat","苍白橡木船"
"Pale Oak Boat with Chest","苍白橡木运输船"
"Panda Spawn Egg","熊猫刷怪蛋"
"Paper","纸"
"Parrot Spawn Egg","鹦鹉刷怪蛋"
"Phantom Membrane","幻翼膜"
"Phantom Spawn Egg","幻翼刷怪蛋"
"Pig Spawn Egg","猪刷怪蛋"
"Banner Pattern","旗帜图案"
"Snout","猪鼻"
"Snout Banner Pattern","猪鼻旗帜图案"
"Piglin Brute Spawn Egg","猪灵蛮兵刷怪蛋"
"Piglin Spawn Egg","猪灵刷怪蛋"
"Pillager Spawn Egg","掠夺者刷怪蛋"
"Pink Bundle","粉红色收纳袋"
"Pink Dye","粉红色染料"
"Pitcher Plant","瓶子草"
"Pitcher Pod","瓶子草荚果"
"Plenty Pottery Shard","富饶纹样陶片"
"Plenty Pottery Sherd","富饶纹样陶片"
"Poisonous Potato","毒马铃薯"
"Polar Bear Spawn Egg","北极熊刷怪蛋"
"Popped Chorus Fruit","爆裂紫颂果"
"Raw Porkchop","生猪排"
"Potato","马铃薯"
"Potion","药水"
"Awkward Potion","粗制的药水"
"Uncraftable Potion","不可合成的药水"
"Potion of Fire Resistance","抗火药水"
"Potion of Harming","伤害药水"
"Potion of Healing","治疗药水"
"Potion of Infestation","虫蚀药水"
"Potion of Invisibility","隐身药水"
"Potion of Leaping","跳跃药水"
"Potion of Levitation","飘浮药水"
"Potion of Luck","幸运药水"
"Mundane Potion","平凡的药水"
"Potion of Night Vision","夜视药水"
"Potion of Oozing","渗浆药水"
"Potion of Poison","剧毒药水"
"Potion of Regeneration","再生药水"
"Potion of Slow Falling","缓降药水"
"Potion of Slowness","迟缓药水"
"Potion of Strength","力量药水"
"Potion of Swiftness","迅捷药水"
"Thick Potion","浓稠的药水"
"Potion of the Turtle Master","神龟药水"
"Water Bottle","水瓶"
"Potion of Water Breathing","水肺药水"
"Potion of Weakness","虚弱药水"
"Potion of Weaving","盘丝药水"
"Potion of Wind Charging","蓄风药水"
"Archer Pottery Shard","弓箭纹样陶片"
"Arms Up Pottery Shard","举臂纹样陶片"
"Prize Pottery Shard","珍宝纹样陶片"
"Skull Pottery Shard","头颅纹样陶片"
"Powder Snow Bucket","细雪桶"
"Prismarine Crystals","海晶砂粒"
"Prismarine Shard","海晶碎片"
"Prize Pottery Shard","珍宝纹样陶片"
"Prize Pottery Sherd","珍宝纹样陶片"
"Pufferfish","河豚"
"Bucket of Pufferfish","河豚桶"
"Pufferfish Spawn Egg","河豚刷怪蛋"
"Pumpkin Pie","南瓜派"
"Pumpkin Seeds","南瓜种子"
"Purple Bundle","紫色收纳袋"
"Purple Dye","紫色染料"
"Nether Quartz","下界石英"
"Raw Rabbit","生兔肉"
"Rabbit's Foot","兔子脚"
"Rabbit Hide","兔子皮"
"Rabbit Spawn Egg","兔子刷怪蛋"
"Rabbit Stew","兔肉煲"
"Smithing Template","锻造模板"
"Raiser Armor Trim","牧民盔甲纹饰"
"Ravager Spawn Egg","劫掠兽刷怪蛋"
"Raw Copper","粗铜"
"Raw Gold","粗金"
"Raw Iron","粗铁"
"Recovery Compass","追溯指针"
"Red Bundle","红色收纳袋"
"Red Dye","红色染料"
"Redstone Dust","红石粉"
"Resin Brick","树脂砖"
"Resin Clump","树脂团"
"Smithing Template","锻造模板"
"Rib Armor Trim","肋骨盔甲纹饰"
"Rotten Flesh","腐肉"
"Saddle","鞍"
"Raw Salmon","生鲑鱼"
"Bucket of Salmon","鲑鱼桶"
"Salmon Spawn Egg","鲑鱼刷怪蛋"
"Scrape Pottery Sherd","刮削纹样陶片"
"Scute","鳞甲"
"Smithing Template","锻造模板"
"Sentry Armor Trim","哨兵盔甲纹饰"
"Smithing Template","锻造模板"
"Shaper Armor Trim","塑造盔甲纹饰"
"Sheaf Pottery Shard","麦捆纹样陶片"
"Sheaf Pottery Sherd","麦捆纹样陶片"
"Shears","剪刀"
"Sheep Spawn Egg","绵羊刷怪蛋"
"Shelter Pottery Shard","树荫纹样陶片"
"Shelter Pottery Sherd","树荫纹样陶片"
"Shield","盾牌"
"Black Shield","黑色盾牌"
"Blue Shield","蓝色盾牌"
"Brown Shield","棕色盾牌"
"Cyan Shield","青色盾牌"
"Gray Shield","灰色盾牌"
"Green Shield","绿色盾牌"
"Light Blue Shield","淡蓝色盾牌"
"Light Gray Shield","淡灰色盾牌"
"Lime Shield","黄绿色盾牌"
"Magenta Shield","品红色盾牌"
"Orange Shield","橙色盾牌"
"Pink Shield","粉红色盾牌"
"Purple Shield","紫色盾牌"
"Red Shield","红色盾牌"
"White Shield","白色盾牌"
"Yellow Shield","黄色盾牌"
"Shulker Shell","潜影壳"
"Shulker Spawn Egg","潜影贝刷怪蛋"
"Sign","告示牌"
"Smithing Template","锻造模板"
"Silence Armor Trim","幽静盔甲纹饰"
"Silverfish Spawn Egg","蠹虫刷怪蛋"
"Skeleton Horse Spawn Egg","骷髅马刷怪蛋"
"Skeleton Spawn Egg","骷髅刷怪蛋"
